case_number,category,description,location_address,latitude,longitude,incident_date,province,city,hour,day_of_week,time_period
CR-2025-000011,THEFT,My car parked in front of my house in Madina Town Faisalabad was stripped of parts during the night. When I woke up in the morning I found the headlights all missing. The car is a Suzuki Cultus and the estimated loss is around Rs. 70000. The neighbors said they heard nothing suspicious during the night. This is the second such incident on our street this month. The thieves appear to be professionals who work quickly and silently. I request police to investigate this pattern of thefts.,"Flat 702, Plaza Heights, Madina Town, Faisalabad",31.433941,73.056976,2024-12-19 22:27:28+00:00,Punjab,Faisalabad,22,3,evening
CR-2025-000012,FRAUD,I was cheated of Rs. 500000 by a fraudulent investment scheme in City Center Faisalabad. A well-dressed businessman promised high guaranteed returns on investment in import-export business. I saw others apparently receiving profits so I trusted him. I invested my savings over several installments. Initially returns came regularly but after my final large investment the person disappeared completely. His office is closed and phones are off. This appears to be a classic Ponzi scheme. I have all the fake investment agreements and payment proofs as evidence.,"House 443, Street 9, Block K, City Center, Faisalabad",31.396733,73.139788,2025-08-29 12:24:37+00:00,Punjab,Faisalabad,12,4,afternoon
CR-2025-000013,OTHER,I am reporting vandalism and property damage at my office in Hall Road Lahore. Sometime during the night unknown persons damaged my property causing losses of approximately Rs. 30000. They wrote threatening messages on the walls and broke glass panels. I suspect my neighbor with whom I have an ongoing dispute about a boundary issue. He had threatened me last week. I have partial CCTV footage showing figures near my property around 2 AM but faces are not clearly visible. The damage has caused me significant financial loss and mental stress.,"Plot 314, Block H, Hall Road, close to the market, Lahore",31.58346,74.206556,2025-04-20 12:19:00+00:00,Punjab,Lahore,12,6,afternoon
CR-2025-000014,BURGLARY,Our house in Fortress Stadium Lahore was burglarized on the weekend while our entire family was traveling. The burglars entered by breaking the lock of the back door. They ransacked all bedrooms and broke open the jewelry box and safe. They stole gold jewelry worth approximately 12 tola Rs. 285000 cash and multiple electronics including laptops and tablets. They left large items suggesting they knew exactly what to take. Our CCTV cable was cut from outside before the break-in. A neighbor mentioned seeing a white Suzuki Bolan parked nearby around midnight. Total loss is approximately Rs. 2685000. This was clearly a professional job.,"Plot 143, Block H, Fortress Stadium, opposite the clinic, Lahore",31.546713,74.311421,2025-08-18 14:25:53+00:00,Punjab,Lahore,14,0,afternoon
CR-2025-000015,BURGLARY,My mobile phone shop in DHA Phase 5 Lahore was broken into last night. The thieves entered by picking the lock professionally from the adjacent vacant property which is under construction. They took merchandise worth Rs. 420000 and cash from the drawer. The main shutter was intact so neighbors did not notice anything until I opened in the morning. I have serial numbers and IMEI numbers of stolen items. Some shopkeepers heard noise around 3 AM but thought it was cats or construction workers. The jewelry shop across the street has CCTV that might have captured the thieves.,"House 24, Street 50, Block A, DHA Phase 5, Lahore",31.53441,74.233873,2025-09-25 03:47:25+00:00,Punjab,Lahore,3,3,late_night
CR-2025-000016,THEFT,I am reporting a mobile phone snatching incident that occurred around 7 PM near Canal Road Faisalabad. I was checking messages on my OnePlus 11 while walking when two men approached from behind on a Suzuki GS-150 fake number plate. The pillion rider no face covering quickly snatched my phone from my hand. They immediately sped away towards the main road. The rider was green shalwar kameez and both appeared to be boy appearing 14-15 years. My phone is worth approximately Rs. 450000. Several people at a nearby shop may have witnessed the incident. I am still shaken by the experience.,"House 436-F, Street 29, Canal Road, close to the market, Faisalabad",31.476703,73.081099,2025-06-11 22:03:50+00:00,Punjab,Faisalabad,22,2,evening
CR-2025-000017,BURGLARY,I am reporting a burglary at my pharmaceutical company office in Trust Plaza Area Gujranwala. The break-in occurred during the weekend when the facility was closed. The thieves entered through the service entrance and broke open the office safe taking Rs. 500000 meant for supplier payments. They also took computers and documents. The night watchman claims he was overpowered by multiple armed men. Based on their knowledge of our layout I suspect they had inside help. Security footage from neighboring buildings may have captured their vehicle.,"House 398, Street 36, Block B, Trust Plaza Area, Gujranwala",32.173079,74.215589,2025-09-17 13:33:59+00:00,Punjab,Gujranwala,13,2,afternoon
CR-2025-000018,ROBBERY,At around 8:30 PM near MM Alam Road Lahore I was robbed by a man who had been watching me at the HBL ATM. I had withdrawn Rs. 75000 for household expenses. The suspect followed me on foot and blocked my path near a dark corner. He threatened me with a concealed weapon and demanded my money. He was a stocky man speaking in threatening tone. He took all my cash my phone and my gold ring. He ran into the nearby residential area after the robbery. The ATM camera should have recorded his face.,"280-E, Main Road, MM Alam Road, close to the school, Lahore",31.517307,74.352876,2025-09-28 19:05:19+00:00,Punjab,Lahore,19,6,evening
CR-2025-000019,ROBBERY,I was robbed at gunpoint pre-dawn around 4 AM while walking home near Mall Road Lahore. Two men on a dark colored motorcycle stopped me and the pillion rider pointed a black pistol at my chest. They demanded my wallet phone and watch threatening to harm me if I resisted. I handed over approximately Rs. 45000 in cash my OnePlus 11 worth Rs. 200000 and my wristwatch. They also took my gold chain from around my neck. They fled towards the main road at high speed. I was too terrified to get a good look at their faces but the gunman was a short stocky person and young man in his early 20s.,"House 235, Street 12, Block A, Mall Road, Lahore",31.42301,74.251996,2024-11-03 12:04:28+00:00,Punjab,Lahore,12,6,afternoon
CR-2025-000020,HARASSMENT,I am a 26-year-old female student and I have been stalked by an unknown man for the past three weeks near Aminpur Bazaar Faisalabad. He follows me on a white motorcycle every day from my home to college. On multiple occasions he has blocked my path and made vulgar inappropriate comments. He appears to be mature man around 45-50 with a thin mustache. I have photos of him and his motorcycle on my phone. He has started appearing near my home as well which is very frightening. I am terrified and cannot focus on my studies. My family is extremely worried about my safety.,"House 455, Street 3, Block G, Aminpur Bazaar, Faisalabad",31.437377,73.070049,2024-12-08 20:03:07+00:00,Punjab,Faisalabad,20,6,evening
CR-2025-000021,THEFT,When I came out to my car this morning parked outside my house in Hall Road Lahore I found that the battery and stereo system had been stolen sometime during the night. The car a Honda City was parked on the street as our garage was occupied. The thieves worked silently without disturbing anyone in the house. There were no signs of forced entry to the car interior so they must have used professional tools. The total loss is approximately Rs. 85000. Several other cars on our street have been similarly targeted in recent weeks. We need increased police patrolling in this area.,"House 483, Street 16, Block J, Hall Road, Lahore",31.463626,74.245113,2024-12-07 10:20:04+00:00,Punjab,Lahore,10,5,morning
CR-2025-000022,THEFT,My smartphone was snatched early morning around 6 AM while I was walking near Kotwali Road in Faisalabad. Two suspects on a Road Prince motorcycle approached slowly from behind. Before I could react the pillion rider scarf wrapped around face grabbed my phone and they accelerated away at high speed. Both appeared to be teenager approximately 16-17 years. The motorcycle had fake number plate. I was talking on my Realme 11 Pro worth Rs. 195000 when this happened. I tried to chase them but they disappeared into a narrow gali. The whole incident happened in seconds.,"Plot 265, Block G, Kotwali Road, close to the pharmacy, Faisalabad",31.35768,73.053343,2025-01-19 02:16:28+00:00,Punjab,Faisalabad,2,6,late_night
CR-2025-000023,THEFT,I am reporting theft of my bicycle imported racing bike from Cavalry Ground Lahore. The vehicle was parked outside my workplace around midnight when it was stolen. The registration is LEA-2828 and the vehicle is worth Rs. 185000. I had locked it properly but the lock was broken. The security guard said he did not notice anything suspicious. I suspect a gang is operating in this area as several vehicles have been stolen recently.,"411-, Main Road, Cavalry Ground, near the main mosque, Lahore",31.405307,74.293051,2024-11-21 16:17:10+00:00,Punjab,Lahore,16,3,afternoon
CR-2025-000024,DOMESTIC_VIOLENCE,I have been suffering torture at the hands of my mother-in-law and sister-in-law since my marriage at our home in Fortress Stadium Lahore. They regularly beat me for minor things like cooking mistakes. Yesterday my mother-in-law caused head injury because I was late in serving tea. They also demand more dowry from my parents and threaten me constantly. My husband either ignores this or sometimes joins them. I am currently at my parents house and have medical records from hospital visits.,"House 164, Street 26, Block G, Fortress Stadium, Lahore",31.598921,74.253151,2025-06-12 19:47:39+00:00,Punjab,Lahore,19,3,evening
CR-2025-000025,ASSAULT,I am reporting a targeted assault on me by unknown assailants near my home in Ichhra Lahore. around 11 PM while I was returning home three men on a white car stopped me and started beating me without warning. They used rods and chains. The attack lasted 2-3 minutes and they fled. I sustained multiple fractures and was hospitalized. I believe this is connected to a personal enmity I am involved in though I cannot be certain of who ordered the attack. I have CCTV footage from my house showing them waiting for me before the assault.,"House 439-F, Street 49, Ichhra, close to the school, Lahore",31.57924,74.255509,2025-12-06 10:58:40+00:00,Punjab,Lahore,10,5,morning
CR-2025-000026,DOMESTIC_VIOLENCE,I have been suffering torture at the hands of my mother-in-law and sister-in-law since my marriage at our home in DHA Phase 4 Lahore. They regularly beat me for minor things like cooking mistakes. Yesterday my mother-in-law caused broken wrist because I was late in serving tea. They also demand more dowry from my parents and threaten me constantly. My husband either ignores this or sometimes joins them. I am currently at my parents house and have medical records from hospital visits.,"Plot 399, Block J, DHA Phase 4, close to the market, Lahore",31.594617,74.405494,2025-07-20 20:09:31+00:00,Punjab,Lahore,20,6,evening
CR-2025-000027,FRAUD,I was defrauded by a seller on Facebook Marketplace. I found an advertisement for an Samsung Galaxy S24 Ultra at Rs. 80000 which was attractive pricing. The seller communicated via WhatsApp and seemed genuine with proper photos and videos of the product. He asked for full payment in advance via JazzCash promising delivery within 2 days. After I transferred the money he sent a fake tracking number. When I checked the courier website the number did not exist. The seller blocked me on WhatsApp and all contact numbers are now switched off. I am from EME Society Lahore and this was money I had saved for months.,"Flat 901, City Heights, EME Society, Lahore",31.588806,74.310441,2025-03-05 15:03:51+00:00,Punjab,Lahore,15,2,afternoon
CR-2025-000028,ROBBERY,My general store in Small Industrial Estate Gujranwala was robbed around 8:30 PM by three armed men as I was preparing to close. They entered with faces covered and one was carrying a revolver. They forced me to hand over all the cash in the register which was about Rs. 185000 and took valuable merchandise worth additional Rs. 118549. The robbery lasted about 5-8 minutes during which they threatened to harm me if I called for help. They fled on a motorcycle without number plate. I have partial CCTV footage that may help identify them.,"Shop 64, Small Industrial Estate Commercial Area, close to the school, Gujranwala",32.136192,74.227952,2025-09-14 22:47:24+00:00,Punjab,Gujranwala,22,6,evening
CR-2025-000029,HARASSMENT,I am being cyber harassed and blackmailed by an unknown person who has stolen my photos from social media. They have created fake profiles on WhatsApp and are threatening to share edited inappropriate pictures with my family and workplace unless I meet their demands. The harassment started past two weeks ago. They call from different numbers and send threatening WhatsApp messages. I live in Liberty Market Lahore and work as a professional. This person seems to know details about my life suggesting they might be watching me. I have saved all evidence.,"Plot 110, Block F, Liberty Market, behind the restaurant, Lahore",31.52241,74.389319,2026-01-28 09:07:06+00:00,Punjab,Lahore,9,2,morning
CR-2025-000030,HARASSMENT,Someone has been blackmailing me using fake social media profiles since the several weeks. They have created multiple fake Facebook accounts using my photos and are threatening to send morphed pictures to my relatives and colleagues unless I pay Rs. 152637. They call from unknown numbers at all hours. I am a student living in Small Industrial Estate Gujranwala and this is destroying my reputation and mental health. I have screenshots of all the threatening messages and fake profiles. I suspect it might be someone who knows me personally as they have information about my daily routine.,"480-J, Main Road, Small Industrial Estate, near the shopping plaza, Gujranwala",32.140808,74.206316,2025-03-26 17:21:42+00:00,Punjab,Gujranwala,17,2,afternoon
CR-2025-000031,THEFT,When I came out to my car this morning parked outside my house in DHA Phase 3 Lahore I found that side mirrors and battery had been stolen sometime during the night. The car a Toyota Corolla was parked on the street as our garage was occupied. The thieves worked silently without disturbing anyone in the house. There were no signs of forced entry to the car interior so they must have used professional tools. The total loss is approximately Rs. 25000. Several other cars on our street have been similarly targeted in recent weeks. We need increased police patrolling in this area.,"419-C, Main Road, DHA Phase 3, opposite the clinic, Lahore",31.482947,74.284381,2024-12-30 02:46:02+00:00,Punjab,Lahore,2,0,late_night
CR-2025-000032,DOMESTIC_VIOLENCE,My husband has been physically and mentally abusing me for the past six months at our residence in Khiyali Gujranwala. The violence has been escalating. Yesterday night he attacked me with his hands and belt leaving broken wrist. I was dizzy for hours and had to go to hospital. My children were crying and begging him to stop. He was drunk when this happened. I have documented my injuries with photos. I fear for my life and my children's safety.,"House 120, Street 35, Block J, Khiyali, Gujranwala",32.152928,74.15245,2025-01-12 12:09:28+00:00,Punjab,Gujranwala,12,6,afternoon
CR-2025-000033,DOMESTIC_VIOLENCE,I have been suffering torture at the hands of my mother-in-law and sister-in-law since my marriage at our home in Industrial Area Gujranwala. They regularly beat me for minor things like cooking mistakes. Yesterday my mother-in-law caused burn marks because I was late in serving tea. They also demand more dowry from my parents and threaten me constantly. My husband either ignores this or sometimes joins them. I am currently at my parents house and have medical records from hospital visits.,"Shop 35, Industrial Area Commercial Area, behind the restaurant, Gujranwala",32.126231,74.219002,2026-01-26 20:05:06+00:00,Punjab,Gujranwala,20,0,evening
CR-2025-000034,THEFT,My wallet was stolen today in DHA Phase 1 Lahore mid-morning around 10:30 AM while I was shopping for clothes. The market was extremely crowded due to weekend rush. I only realized my wallet was missing when I went to pay at a shop. Someone must have taken it from my back pocket without me feeling anything. The wallet had around Rs. 10000 cash along with my CNIC driving license and three bank cards. I think it was a professional pickpocket because I felt nothing at all. I have already called banks to block my cards immediately.,"House 357, Street 30, Block D, DHA Phase 1, Lahore",31.460707,74.208813,2025-01-24 15:24:27+00:00,Punjab,Lahore,15,4,afternoon
CR-2025-000035,HARASSMENT,I want to report stalking by an unknown man who has been following me for the past three weeks near Muslim Town Lahore. I am a 26-year-old working woman and this person on a Road Prince motorcycle appears on my route to work every morning. He makes inappropriate gestures and says disgusting things when he comes near me. He is person around 25-30 years old. Yesterday he tried to grab my dupatta while I was waiting for transport. I am scared to leave my house now and need urgent police intervention.,"House 300, Street 18, Block C, Muslim Town, Lahore",31.450041,74.301248,2025-11-01 13:26:08+00:00,Punjab,Lahore,13,5,afternoon
CR-2025-000036,FRAUD,I am reporting employment fraud. I received a call about a job opportunity at a IT firm after applying online. I went for an interview at their office in Bahria Town Lahore which looked legitimate. After three interview rounds I was offered the position with good salary. They asked for Rs. 65000 as training fee which they said would be adjusted in first salary. I paid the amount but the joining date kept getting postponed. Finally when I visited the office it was empty and permanently closed. I have the fake offer letter and payment receipts as evidence.,"Flat 705, Plaza Heights, Bahria Town, Lahore",31.416258,74.446353,2025-05-14 13:21:52+00:00,Punjab,Lahore,13,2,afternoon
CR-2025-000037,THEFT,I am reporting a theft that occurred in Gulberg II Lahore afternoon around 2 PM. My purse was stolen from my shopping bag while I was browsing at a clothing store. The area was very crowded and someone skillfully extracted my purse without my knowledge. I had approximately Rs. 10000 cash my mobile phone and important cards in the purse. I believe the thief was a professional who took advantage of the crowd. I only noticed the theft when I tried to pay and found my purse missing.,"House 429-K, Street 8, Gulberg II, behind the factory, Lahore",31.409649,74.377466,2025-03-05 16:07:46+00:00,Punjab,Lahore,16,2,afternoon
CR-2025-000038,HARASSMENT,Someone has been blackmailing me using fake social media profiles since the several weeks. They have created multiple fake WhatsApp accounts using my photos and are threatening to send morphed pictures to my relatives and colleagues unless I pay Rs. 69729. They call from unknown numbers at all hours. I am a businesswoman living in DHA Phase 5 Lahore and this is destroying my reputation and mental health. I have screenshots of all the threatening messages and fake profiles. I suspect it might be someone who knows me personally as they have information about my daily routine.,"House 363, Street 47, Block G, DHA Phase 5, Lahore",31.51773,74.307084,2025-05-18 20:46:15+00:00,Punjab,Lahore,20,6,evening
CR-2025-000039,DOMESTIC_VIOLENCE,I have been suffering torture at the hands of my mother-in-law and sister-in-law since my marriage at our home in Eden Valley Faisalabad. They regularly beat me for minor things like cooking mistakes. Yesterday my mother-in-law caused cuts requiring stitches because I was late in serving tea. They also demand more dowry from my parents and threaten me constantly. My husband either ignores this or sometimes joins them. I am currently at my parents house and have medical records from hospital visits.,"House 421, Street 26, Block , Eden Valley, Faisalabad",31.467602,73.030748,2025-07-28 12:07:42+00:00,Punjab,Faisalabad,12,0,afternoon
CR-2025-000040,THEFT,Construction materials were stolen from my plot under construction in Susan Road Faisalabad. The theft occurred during pre-dawn hours while the site was unguarded. The thieves took approximately 50 cement bags and electrical wiring worth Rs. 240000. They appeared to have used a Suzuki Ravi pickup to haul away the materials. The neighboring site watchman said he saw a loading vehicle around 4 AM but did not find it suspicious at the time. This is the second theft at construction sites in our neighborhood this month.,"House 321-H, Street 34, Susan Road, close to the market, Faisalabad",31.422428,73.132229,2026-01-18 16:42:34+00:00,Punjab,Faisalabad,16,6,afternoon
CR-2025-000041,THEFT,Construction materials were stolen from my plot under construction in Muslim Town Lahore. The theft occurred during pre-dawn hours while the site was unguarded. The thieves took approximately 50 copper pipes and cables worth Rs. 420000. They appeared to have used a loading vehicle to haul away the materials. The neighboring site watchman said he saw a loading vehicle around 4 AM but did not find it suspicious at the time. This is the second theft at construction sites in our neighborhood this month.,"House 478, Street 28, Block B, Muslim Town, Lahore",31.499735,74.339695,2025-07-22 16:29:46+00:00,Punjab,Lahore,16,1,afternoon
CR-2025-000042,THEFT,My bicycle imported racing bike was stolen from outside a shop in Satellite Town Gujranwala morning around 8 AM while I was inside for just 10-15 minutes. I had properly locked the handle lock but the thieves must have loaded it onto a vehicle. The registration number was GRW-3366. Total value approximately Rs. 130000. A nearby shopkeeper mentioned seeing two suspicious young men loitering near the bikes earlier. CCTV footage from neighboring shops might be available for police investigation.,"Shop 65, Satellite Town Commercial Area, near the main mosque, Gujranwala",32.218708,74.207943,2025-03-13 15:48:23+00:00,Punjab,Gujranwala,15,3,afternoon
CR-2025-000043,BURGLARY,I am reporting a burglary at my residence in Peoples Colony Gujranwala. The incident occurred while we were traveling for the evening. The burglars broke in through the back window after cutting the CCTV wires. They systematically searched every room taking only valuables. We lost gold jewelry worth 15 tola cash Rs. 345000 and several electronics. Nothing large was taken suggesting they had a grey car waiting. Neighbors reported seeing an unfamiliar vehicle in the area. The burglars appeared to know our schedule as the robbery happened when the house was empty.,"House 194, Street 34, Block J, Peoples Colony, Gujranwala",32.165073,74.184964,2025-06-27 03:34:04+00:00,Punjab,Gujranwala,3,4,late_night
CR-2025-000044,ASSAULT,I am reporting a road rage assault that occurred around 11 PM on the main road near Industrial Estate Faisalabad. A black Fortuner bumped my motorcycle from behind. When I stopped to check damage three men emerged and started beating me without any discussion or provocation. They were well-dressed in white shalwar kameez and seemed influential. One had an iron rod which he used on my legs. The attack lasted several minutes while onlookers were too scared to help. I sustained fractured nose. I was hospitalized for treatment. The attackers drove away threatening to kill me if I filed a complaint. Nearby petrol pump CCTV may have recorded the incident.,"House 373, Street 31, Block D, Industrial Estate, Faisalabad",31.404255,73.144023,2025-10-18 20:59:44+00:00,Punjab,Faisalabad,20,5,evening
CR-2025-000045,THEFT,I want to report a chain snatching incident that happened around 2:30 AM near Cantt Lahore. I was walking alone when a black Yamaha motorcycle came up from behind. The person sitting at the back yanked my gold necklace off my neck causing injuries. The chain was 8 tola gold worth approximately Rs. 1560000. The force of the pull caused my neck to bleed and left visible scratches. I was immediately taken to a nearby hospital for treatment of my injuries.,"Shop 78, Cantt Commercial Area, close to the school, Lahore",31.423102,74.266159,2025-01-12 23:14:47+00:00,Punjab,Lahore,23,6,evening
CR-2025-000046,OTHER,I am reporting vandalism and property damage at my shop in WAPDA City Faisalabad. Sometime during the night unknown persons damaged my property causing losses of approximately Rs. 195000. They wrote threatening messages on the walls and broke glass panels. I suspect my neighbor with whom I have an ongoing dispute about a boundary issue. He had threatened me last week. I have partial CCTV footage showing figures near my property around 2 AM but faces are not clearly visible. The damage has caused me significant financial loss and mental stress.,"Plot 104, Block A, WAPDA City, near the main mosque, Faisalabad",31.399461,73.091343,2025-09-28 15:39:20+00:00,Punjab,Faisalabad,15,6,afternoon
CR-2025-000047,DOMESTIC_VIOLENCE,I am filing a report against my elder brother who has been physically abusing our elderly mother at our family home in Liberty Market Lahore. He wants to sell the family property and our mother refuses to sign papers. For the past year he has been hitting her and withholding food and medicine. Yesterday he pushed her causing her to fall and sustain cuts requiring stitches. She is 72 years old and diabetic. I have photos of her injuries and neighbor testimonies. He needs to be stopped immediately.,"Plot 5, Block F, Liberty Market, opposite the hospital, Lahore",31.48266,74.322906,2025-10-08 14:26:09+00:00,Punjab,Lahore,14,2,afternoon
CR-2025-000048,ROBBERY,I was robbed at gunpoint mid-morning around 10:30 AM while walking home near Batala Colony Faisalabad. Two men on a black Honda CD-70 stopped me and the pillion rider pointed a gun at my chest. They demanded my wallet phone and watch threatening to harm me if I resisted. I handed over approximately Rs. 10000 in cash my Samsung Galaxy S24 Ultra worth Rs. 200000 and my wristwatch. They also took my gold chain from around my neck. They fled towards the main road at high speed. I was too terrified to get a good look at their faces but the gunman was a stocky man and young adult around 22-24.,"Plot 149, Block C, Batala Colony, near the park, Faisalabad",31.398208,73.055204,2025-05-17 21:18:53+00:00,Punjab,Faisalabad,21,5,evening
CR-2025-000049,HARASSMENT,I am being cyber harassed and blackmailed by an unknown person who has stolen my photos from social media. They have created fake profiles on Facebook and are threatening to share edited inappropriate pictures with my family and workplace unless I meet their demands. The harassment started several weeks ago. They call from different numbers and send threatening WhatsApp messages. I live in Kot Lakhpat Lahore and work as a teacher. This person seems to know details about my life suggesting they might be watching me. I have saved all evidence.,"250-C, Main Road, Kot Lakhpat, near the main mosque, Lahore",31.560638,74.39094,2025-01-28 01:32:54+00:00,Punjab,Lahore,1,1,late_night
CR-2025-000050,FRAUD,I was defrauded of Rs. 335000 through a phone scam. evening around 5:30 PM I received a call from someone claiming to be from Bank Alfalah fraud prevention team. They said someone was trying to transfer money from my account and I needed to verify my identity immediately. The caller knew my name which made me trust them. They asked for OTPs I received and I gave them thinking I was protecting my account. My entire savings was transferred out within minutes. I am a elderly person living in Canal Road Faisalabad. The phone number is now switched off.,"Plot 373, Block K, Canal Road, near the college, Faisalabad",31.405396,73.126594,2024-11-10 17:03:40+00:00,Punjab,Faisalabad,17,6,afternoon
CR-2025-000051,FRAUD,I lost Rs. 500000 in a fraudulent investment scheme operated from an office in Industrial Area Gujranwala. The operator promised guaranteed 16 percent monthly returns on investment in government contracts. Initially I invested a smaller amount and received returns which built my trust. Encouraged I invested Rs. 500000 more over several months. After my final large investment the person stopped answering calls. When I went to the office it was closed and neighbors said he had left town. Multiple other investors from the area have also been defrauded. We have formed a group and have all transaction documents.,"300-H, Main Road, Industrial Area, close to the school, Gujranwala",32.131648,74.183549,2026-01-20 12:31:58+00:00,Punjab,Gujranwala,12,1,afternoon
